"rdu","eu","sal"
-5488.66490594731,-5488.81982219139,-5452.50127675999
-5477.36614846352,-5477.75613890723,-5449.49637521944
-5768.88987201911,-5768.70229281689,-5728.05237231955
-5708.82793595477,-5710.10979772043,-5672.38471858501
-6571.52103987962,-6571.17744513421,-6547.06007514084
-6630.93442482738,-6630.92623741533,-6589.00225150308
-13478.3085179313,-13480.2396771012,-13410.4651342987
-6862.64204674465,-6861.75032218188,-6830.17643575121
-7186.7812475597,-7188.00767998175,-7134.50119423716
-7367.36355835845,-7366.11341437789,-7324.40150893667
